Epoch Train_Loss Validation_Loss
1 27.428 24.752
2 17.563 13.037
3 12.559 17.415
4 11.277 11.472
5 10.200 10.435
6 9.313 9.657
7 8.483 8.952
8 7.843 8.719
9 7.487 8.874
10 7.050 8.035
11 6.556 8.185
12 6.511 8.098
13 6.173 9.653
14 5.872 8.981
15 5.748 8.670
16 5.453 9.016
17 5.187 7.527
18 4.886 9.751
19 4.899 7.856
20 4.794 7.687
21 4.741 8.094
22 5.220 7.638
23 4.716 8.331
24 4.191 7.838
25 3.914 8.197
26 3.874 9.044
27 3.935 7.776
28 4.045 7.502
29 3.882 7.663
30 4.241 8.080
31 4.285 7.537
32 3.846 8.251
33 3.599 7.849
34 3.474 7.496
35 3.555 7.741
36 3.527 7.407
37 4.126 7.797
38 4.597 7.460
39 4.172 7.642
40 3.634 7.968
41 3.169 7.045
42 2.929 7.425
43 3.093 7.313
44 3.086 7.379
45 3.109 7.744
46 3.255 7.496
47 3.386 7.492
48 3.491 7.371
49 3.848 7.760
50 3.896 7.700
51 3.617 7.581
52 3.403 7.294
53 2.921 7.309
54 2.666 7.539
55 2.607 7.236
56 2.660 7.513
57 2.847 9.127
58 3.286 7.502
59 3.893 8.600
60 4.211 7.590
61 3.893 9.108
62 3.776 7.556
63 3.515 7.458
64 3.111 7.412
65 2.930 7.460
66 2.811 7.514
67 2.597 7.640
68 2.434 7.333
69 2.437 7.559
70 2.545 7.543
71 2.856 7.300
72 3.395 7.986
73 4.650 8.434
74 5.173 8.093
75 4.293 7.231
76 3.410 7.289
77 3.000 7.323
78 2.712 7.251
79 2.419 7.352
80 2.238 7.562
81 2.284 7.430
82 2.314 7.251
83 2.388 7.520
84 2.546 7.315
85 2.649 7.438
86 2.812 7.589
87 3.445 7.437
88 4.454 8.254
89 5.109 7.873
90 4.671 7.651
91 3.753 7.382
92 3.129 7.245
93 2.668 7.325
94 2.356 7.352
95 2.292 7.526
96 2.245 7.206
97 2.222 7.084
98 2.197 7.137
99 2.152 7.453
100 2.201 7.146
Training complete! Best validation at epoch 41. Validation loss: 7.045, Test loss: 7.091
