Epoch Train_Loss Validation_Loss
1 26.834 21.092
2 16.803 12.706
3 11.917 11.782
4 10.326 9.785
5 9.686 11.065
6 9.261 9.955
7 8.754 9.571
8 8.362 8.822
9 7.924 9.443
10 7.582 8.721
11 7.146 8.039
12 6.943 8.705
13 6.624 8.084
14 6.339 8.212
15 6.122 10.456
16 6.058 8.373
17 6.744 8.832
18 6.026 8.008
19 5.462 9.578
20 5.294 8.070
21 5.036 8.020
22 4.826 7.899
23 4.470 8.619
24 4.163 8.518
25 3.855 8.798
26 3.819 8.140
27 3.745 8.215
28 3.620 7.730
29 3.461 7.946
30 3.326 7.664
31 3.121 7.971
32 2.951 8.146
33 2.800 7.772
34 2.648 7.888
35 2.412 8.083
36 2.360 7.711
37 2.270 7.448
38 2.355 7.696
39 2.260 7.799
40 2.192 7.633
41 2.170 7.438
42 2.078 7.504
43 2.088 7.512
44 2.072 7.538
45 2.065 7.534
46 2.049 7.646
47 2.015 7.556
48 2.035 7.447
49 2.051 7.673
50 1.962 7.405
51 1.810 7.390
52 1.758 7.384
53 1.724 7.325
54 1.747 7.547
55 1.656 7.432
56 1.604 7.638
57 1.531 7.540
58 1.622 7.586
59 1.660 7.997
60 1.717 7.523
61 1.685 7.690
62 1.776 7.816
63 1.888 7.752
64 1.818 7.543
65 1.725 7.556
66 1.774 7.623
67 1.805 7.570
68 1.804 7.794
69 1.912 7.395
70 1.884 7.494
71 1.889 7.363
72 1.867 7.318
73 1.829 7.704
74 1.829 8.073
75 1.840 7.850
76 1.719 7.417
77 1.642 7.415
78 1.734 7.341
79 1.815 7.388
80 1.858 7.608
81 2.043 8.457
82 2.184 7.671
83 2.183 8.526
84 2.044 8.253
85 4.284 11.483
86 6.748 7.415
87 5.087 7.715
88 4.041 8.185
89 3.219 7.908
90 2.778 7.664
91 2.323 7.449
92 1.994 7.447
93 1.973 7.449
94 1.708 7.324
95 1.435 7.337
96 1.328 7.263
97 1.197 7.272
98 1.158 7.318
99 1.102 7.430
100 1.032 7.825
Training complete! Best validation at epoch 96. Validation loss: 7.263, Test loss: 7.192
