Epoch Train_Loss Validation_Loss
1 30.603 30.171
2 30.006 30.965
3 29.438 30.232
4 28.939 28.002
5 28.450 26.902
6 27.899 23.810
7 27.311 23.610
8 26.724 25.434
9 26.067 24.149
10 25.281 20.504
11 24.577 22.201
12 23.731 23.197
13 22.911 18.037
14 21.946 16.378
15 21.047 16.003
16 20.241 18.361
17 19.173 13.827
18 18.598 14.010
19 17.218 16.034
20 16.408 16.005
21 15.577 28.902
22 14.789 14.065
23 13.956 12.625
24 13.152 11.008
25 12.597 10.870
26 11.974 10.348
27 11.230 9.734
28 10.764 10.041
29 10.317 9.752
30 9.922 10.285
31 9.566 11.141
32 9.171 9.152
33 8.727 9.414
34 8.426 9.651
35 8.285 9.638
36 8.079 10.309
37 7.785 8.709
38 7.627 8.269
39 7.277 8.897
40 7.314 8.635
41 7.251 9.188
42 7.207 8.648
43 7.156 8.127
44 6.794 8.067
45 6.758 9.619
46 6.804 8.025
47 6.641 8.476
48 6.819 7.818
49 6.874 7.868
50 6.847 8.545
51 6.752 9.673
52 6.566 8.441
53 6.340 7.879
54 6.156 8.111
55 6.291 8.108
56 5.982 8.089
57 5.984 7.817
58 6.143 7.522
59 6.036 7.552
60 6.045 7.690
61 5.834 7.435
62 5.962 7.545
63 6.000 7.622
64 5.790 7.524
65 5.840 7.518
66 5.636 7.900
67 5.839 7.414
68 5.852 7.829
69 5.726 9.801
70 5.960 8.077
71 6.061 8.245
72 5.782 7.257
73 5.844 8.209
74 5.791 7.310
75 5.810 9.400
76 5.699 8.140
77 5.631 9.898
78 5.581 7.976
79 5.643 7.416
80 5.747 7.158
81 5.577 7.542
82 5.567 8.088
83 5.576 8.438
84 5.385 7.973
85 5.397 7.447
86 5.437 7.377
87 5.531 7.321
88 5.403 7.303
89 5.421 7.301
90 5.291 7.058
91 5.395 7.330
92 5.282 7.523
93 5.463 7.493
94 5.384 8.632
95 5.613 7.494
96 5.486 7.709
97 5.613 7.796
98 5.568 7.962
99 5.559 7.091
100 5.801 7.648
101 5.705 8.095
102 5.724 7.594
103 5.594 7.920
104 5.416 7.225
105 5.380 7.256
106 5.295 7.192
107 5.259 7.082
108 5.338 7.107
109 5.262 7.125
110 5.388 7.293
Training complete! Best validation at epoch 90. Validation loss: 7.058, Test loss: 7.181
