Epoch Train_Loss Validation_Loss
1 28.115 25.105
2 20.494 22.778
3 17.510 13.508
4 16.209 12.195
5 15.772 13.295
6 15.313 11.988
7 15.064 11.288
8 14.324 10.759
9 14.324 12.364
10 13.919 10.810
11 13.787 10.412
12 13.369 10.082
13 13.208 9.764
14 13.064 9.329
15 12.821 9.289
16 12.376 9.348
17 12.410 9.332
18 12.309 9.042
19 11.993 9.221
20 11.774 8.844
21 11.643 8.451
22 11.256 8.365
23 11.470 9.431
24 11.380 8.606
25 10.916 7.924
26 11.093 8.686
27 10.855 8.703
28 10.612 8.040
29 10.416 8.262
30 10.334 8.099
31 10.216 7.511
32 9.783 7.914
33 9.696 7.539
34 9.497 7.716
35 9.642 8.017
36 9.430 7.668
37 9.275 7.570
38 9.205 7.451
39 9.128 7.918
40 8.726 7.663
41 8.740 7.357
42 8.592 7.600
43 8.400 7.538
44 8.628 7.478
45 8.356 7.069
46 8.422 7.195
47 8.097 7.338
48 7.916 7.308
49 7.908 7.194
50 8.020 7.275
51 7.855 7.244
52 7.926 7.293
53 7.701 7.038
54 7.683 7.469
55 7.624 7.393
56 7.651 7.220
57 7.554 7.030
58 7.368 7.394
59 7.392 7.005
60 7.236 7.006
61 7.234 7.234
62 7.097 7.089
63 7.278 6.959
64 7.001 7.012
65 6.977 7.332
66 7.095 7.167
67 6.944 7.427
68 6.792 7.245
69 6.757 7.426
70 6.836 7.222
71 7.044 7.215
72 6.841 7.191
73 6.639 7.416
74 6.545 7.335
75 6.495 7.112
76 6.414 6.933
77 6.357 7.094
78 6.301 7.026
79 6.450 7.019
80 6.084 7.247
81 6.065 7.076
82 6.224 7.082
83 6.067 7.120
84 5.964 7.003
85 5.976 7.163
86 5.908 7.239
87 5.867 7.152
88 5.951 7.139
89 5.906 7.351
90 6.073 7.189
91 6.023 7.424
92 5.922 7.330
93 5.811 7.112
94 5.834 7.165
95 5.786 7.121
96 5.754 7.032
97 5.729 7.268
98 5.731 7.178
99 5.637 7.212
100 5.524 7.074
Training complete! Best validation at epoch 76. Validation loss: 6.933, Test loss: 7.050
