Epoch Train_Loss Validation_Loss
1 27.103 25.236
2 17.771 12.924
3 13.039 15.792
4 11.669 11.516
5 11.149 10.759
6 11.454 11.570
7 11.060 10.140
8 10.169 9.934
9 9.732 9.764
10 9.233 9.367
11 8.805 9.514
12 8.336 8.902
13 7.861 9.445
14 7.588 8.957
15 7.179 8.186
16 6.766 8.545
17 6.726 8.286
18 7.060 8.185
19 6.555 8.260
20 6.111 9.197
21 5.691 9.394
22 5.492 8.121
23 5.236 7.949
24 4.987 8.312
25 4.645 9.264
26 4.601 8.019
27 4.487 8.357
28 4.274 8.013
29 4.090 7.838
30 3.842 7.950
31 3.745 7.892
32 3.667 7.931
33 3.641 8.109
34 3.392 9.556
35 3.329 7.835
36 3.398 7.889
37 3.268 7.660
38 3.211 7.660
39 2.968 7.642
40 2.726 7.610
41 2.539 7.579
42 2.374 7.849
43 2.329 7.651
44 2.178 8.054
45 2.045 8.265
46 1.979 7.775
47 1.926 7.614
48 1.883 7.668
49 1.963 7.564
50 1.874 7.691
51 1.910 8.157
52 1.902 8.234
53 1.935 7.612
54 1.910 7.498
55 1.923 7.449
56 1.835 7.614
57 1.766 7.857
58 1.639 7.702
59 1.639 7.563
60 1.660 7.612
61 1.591 7.510
62 1.576 7.476
63 1.602 7.511
64 1.647 7.342
65 1.610 7.642
66 1.738 7.373
67 1.591 7.486
68 1.540 7.593
69 1.505 7.582
70 1.545 7.513
71 1.635 7.836
72 2.180 7.711
73 2.084 7.559
74 2.140 7.524
75 2.322 7.703
76 2.229 7.404
77 1.871 7.383
78 1.579 7.373
79 1.420 7.476
80 1.283 7.566
81 1.338 7.689
82 1.307 7.701
83 1.296 7.621
84 1.401 7.852
85 1.533 7.837
86 1.435 7.351
87 1.371 7.529
88 1.349 7.432
89 1.303 7.343
90 1.336 7.403
91 1.380 7.411
92 1.493 7.596
93 1.531 7.549
94 1.480 8.149
95 1.427 7.784
96 1.403 7.586
97 1.398 8.310
98 1.438 7.528
99 1.350 7.352
100 1.269 7.440
Training complete! Best validation at epoch 64. Validation loss: 7.342, Test loss: 7.458
