Epoch Train_Loss Validation_Loss
1 27.012 26.254
2 17.692 16.274
3 13.477 17.737
4 11.806 11.380
5 10.676 10.405
6 10.020 11.324
7 9.438 11.579
8 9.091 11.378
9 8.516 8.660
10 8.245 13.774
11 7.988 8.837
12 7.603 9.422
13 7.474 8.418
14 7.322 10.716
15 7.032 9.135
16 6.989 8.184
17 6.771 8.010
18 6.684 8.793
19 6.639 7.558
20 6.239 7.971
21 6.313 8.492
22 6.430 7.595
23 5.985 8.107
24 5.736 8.463
25 5.660 8.080
26 5.557 9.202
27 5.619 9.030
28 5.954 9.740
29 5.630 8.479
30 5.307 8.584
31 5.129 8.581
32 5.368 8.192
33 5.396 10.029
34 5.166 13.556
35 5.442 9.142
36 5.401 7.550
37 5.416 9.773
38 5.315 7.826
39 4.960 8.448
40 4.761 8.622
41 4.611 7.863
42 4.745 8.257
43 5.155 8.812
44 4.997 9.539
45 5.299 8.533
46 5.613 8.214
47 5.187 7.378
48 5.059 7.342
49 4.938 10.258
50 4.950 9.385
51 4.628 8.027
52 4.585 9.136
53 4.793 7.564
54 4.775 7.445
55 4.802 8.337
56 4.830 7.342
57 4.796 8.644
58 4.994 7.545
59 4.933 9.017
60 5.071 7.886
61 4.684 8.486
62 4.185 7.659
63 4.172 7.435
64 4.316 7.683
65 4.524 8.577
66 4.620 7.721
67 4.771 8.210
68 4.887 7.838
69 4.595 7.929
70 4.329 7.835
71 4.478 7.570
72 4.250 7.553
73 4.347 9.207
74 4.358 8.457
75 4.718 7.732
76 4.947 7.541
77 4.514 8.781
78 4.511 7.767
79 4.343 7.593
80 4.237 10.229
81 4.187 8.517
82 4.242 8.598
83 5.126 9.592
84 5.786 7.991
85 4.821 8.138
86 4.246 7.490
87 4.004 7.906
88 3.914 7.962
89 4.077 7.844
90 4.274 7.549
91 4.626 9.630
92 4.867 7.564
93 4.386 7.541
94 4.102 8.782
95 3.979 7.858
96 4.062 7.816
97 4.187 8.165
98 4.311 8.102
99 5.304 7.497
100 5.053 7.552
Training complete! Best validation at epoch 48. Validation loss: 7.342, Test loss: 7.701
