Epoch Train_Loss Validation_Loss
1 26.131 19.690
2 17.252 17.201
3 13.242 14.637
4 11.786 12.107
5 11.315 11.205
6 10.453 11.193
7 9.741 14.221
8 9.369 9.145
9 8.622 9.183
10 8.376 8.846
11 8.005 9.295
12 7.974 9.316
13 7.769 8.718
14 7.455 8.783
15 7.353 9.088
16 7.231 12.619
17 7.061 9.664
18 7.261 8.021
19 6.722 9.914
20 6.440 8.892
21 6.899 8.204
22 6.509 7.962
23 6.036 7.727
24 6.081 8.210
25 6.172 7.775
26 6.041 9.059
27 6.129 8.369
28 6.012 12.867
29 5.959 7.892
30 5.784 12.449
31 5.781 8.708
32 5.952 7.892
33 5.559 7.697
34 5.429 12.362
35 5.550 9.546
36 5.592 14.027
37 5.672 8.091
38 5.737 11.188
39 5.496 8.827
40 5.449 7.542
41 5.371 7.556
42 5.112 8.082
43 4.937 8.975
44 5.114 9.060
45 5.552 7.982
46 5.277 8.171
47 5.204 8.342
48 5.151 7.552
49 5.085 8.124
50 5.216 9.413
51 5.141 8.591
52 4.862 7.758
53 4.877 7.393
54 4.863 7.802
55 4.830 7.568
56 5.454 7.805
57 5.305 7.221
58 4.876 7.731
59 4.812 8.556
60 4.768 7.739
61 4.772 8.472
62 4.892 8.461
63 4.803 8.863
64 5.179 11.893
65 5.167 8.367
66 4.789 7.961
67 4.687 7.930
68 5.006 8.026
69 4.885 8.272
70 4.652 7.311
71 4.521 8.362
72 4.705 7.311
73 4.603 7.627
74 4.759 7.776
75 4.908 9.159
76 5.431 12.004
77 6.021 7.858
78 5.094 7.674
79 4.481 8.726
80 4.334 7.551
81 4.346 8.091
82 4.570 7.569
83 4.825 7.288
84 4.732 7.318
85 4.600 7.651
86 4.563 7.618
87 4.509 7.496
88 4.588 7.691
89 5.079 7.915
90 4.959 7.876
91 4.984 8.193
92 4.797 7.543
93 4.533 7.396
94 4.304 7.489
95 4.492 7.554
96 4.713 7.458
97 4.666 7.808
98 4.621 7.362
99 4.514 8.275
100 4.567 10.854
Training complete! Best validation at epoch 57. Validation loss: 7.221, Test loss: 7.726
